method,scenario,n_datasets,total_distance_sum,mean_distance_sum,total_time_ms_sum,mean_time_ms_sum
cluster_first,scenario1,100,523298.8300,5232.9883,269.1800,2.6918
cluster_first,scenario2,100,477546.5800,4775.4658,512.7800,5.1278
cluster_first,scenario3,100,562592.6100,5625.9261,328.7300,3.2873
match_first,scenario1,100,518751.5400,5187.5154,1311.5500,13.1155
match_first,scenario2,100,478394.4300,4783.9443,1784.9400,17.8494
match_first,scenario3,100,542878.9000,5428.7890,1218.1100,12.1811
ca_ilp,scenario1,100,512858.7763,5128.5878,60854.6349,608.5463
ca_ilp,scenario2,100,389015.1896,3890.1519,4053531.1561,40535.3116
ca_ilp,scenario3,100,530488.0362,5304.8804,47947.0944,479.4709
ca_mis,scenario1,100,537190.9723,5371.9097,10526.3913,105.2639
ca_mis,scenario2,100,429903.8485,4299.0385,167294.1218,1672.9412
ca_mis,scenario3,100,566002.8776,5660.0288,9113.0068,91.1301
